	protein	coefficient_control	p_value_control	random_intercept_variance_control	residual_variance_control	log_likelihood_control	aic_control	bic_control	bse_control	q_value_control	coefficient_treated	p_value_treated	random_intercept_variance_treated	residual_variance_treated	log_likelihood_treated	aic_treated	bic_treated	bse_treated	q_value_treated	diff	se_diff	z_stat	p_value	q_value	log2_fold_change
0	CES1	-2.026075579878991	4.977239126242731e-44	0.1322401025250903	0.4034897804606709	-433.0542061666124			0.1455802219060807	2.0631841235210938e-42	-0.3218183993638054	0.0188233733249497	0.344608376740756	0.0829776116416734	-29.398593860225617			0.1370016831109813	0.1056618689307176	1.7042571805151856	0.19990763413503104	8.52522310060463	0.0	0.0	2.6543692759204327
1	ACSS3	-2.3659315650031987	2.847123373394255e-60	0.2451633787957035	0.3617957776815422	-400.1422426022386			0.1444772621633853	2.915789290046705e-58	-0.4656537103011941	0.0007841210451152	0.3515167235942324	0.0700907336648324	-19.98978722287808			0.1386559169555254	0.0097092635292216	1.9002778547020045	0.20024770308047263	9.489636212897526	0.0	0.0	2.345078965080923
2	AOX1	-1.7807402530634198	1.5525801119648063e-89	0.2646767054093565	0.1516314044544375	-235.92801191743752			0.0887571995678672	9.010139916435756e-87	-0.5270537647758041	0.0002875673413772	0.226799594231939	0.0856200982290383	-29.59665695671956			0.1453440371079372	0.004483920397031	1.2536864882876158	0.17030187784626344	7.361554106992031	4.546363285840016e-14	2.591427072928809e-12	1.7564550498121783
3	ALDH1L1	-1.5605981357236185	3.8896476087728527e-53	0.5587038698596608	0.1971113621097756	-295.7025239643219			0.101707900700132	2.7087505947494154e-51	-0.5455394040942947	8.987383959787824e-07	0.3754389110348773	0.0556066233580661	-8.089851640921154			0.111048885660932	4.882178899446031e-05	1.0150587316293238	0.15058669287610596	6.740693432084703	3.940792137058224e-12	1.684688638592391e-10	1.5163437709709564
4	NADK2	-1.612273046442576	7.962113150343902e-65	0.1643172501278325	0.1743130963015949	-262.13022536273365			0.0948294866472372	1.0663106919037487e-62	-0.4427891111719117	0.003662722190899	0.2721165916742732	0.104989497383921	-42.59567738893895			0.1523791988932489	0.0331614202659894	1.1694839352706643	0.17947716231634275	6.516059871781102	1.8044565841535132e-11	6.171241517805015e-10	1.864404442423438
5	FMO3	-1.7332371426131183	1.5514841583060167e-68	0.2786882039297001	0.1901598351569921	-283.09461816616727			0.0990678103888023	2.45557629055525e-66	-0.5666308700499469	0.0001646327890814	0.4351682465747631	0.0957796677296761	-37.672299306291			0.1503841070720181	0.0030134958349259	1.1666062725631714	0.18008278850317674	6.4781664159014944	2.3210988686628298e-11	6.615131775689065e-10	1.6129879514640701
6	TSSK6	1.9812540705826	1.9613483794434168e-63	0.3489625842213506	0.2233422942945434	-273.48296806722374			0.1178408971960363	2.2764716857406592e-61	0.4835835101149334	0.0177651086985498	0.3938905740527416	0.1550571368120831	-54.89496854902612			0.2040025438506848	0.1028056462142883	1.4976705604676668	0.23559183973456588	6.357056178834744	5.1414206225786074e-11	1.2559756092299171e-09	2.0345769437718415
7	CS	-2.0448679146748447	4.918662165887399e-63	0.0802094431738497	0.2888655342199192	-362.1978634763029			0.1220206393678683	5.3521192692562254e-61	-0.8336908558667655	5.474495756318385e-07	0.3122521140644696	0.1085925936643184	-41.61072236478765			0.1664422495419798	3.5457887898616e-05	1.2111770588080792	0.20637843604489797	5.8687190484600125	1.0979372411235033e-09	2.3468408529014884e-08	1.2944232407358882
8	ASS1	1.8267410983318464	1.4854283906993178e-72	0.1825528907611112	0.2005048409647543	-292.7929762010665			0.1014010355941799	2.873478698008347e-70	0.1223446092934337	0.6597775432572239	0.5008130728816443	0.3358927386425105	-107.46780746699284			0.2779167691091608	0.8438434752819227	1.7043964890384127	0.2958376253481743	5.761256659062521	2.087249206805808e-09	3.965773492931035e-08	3.900249736747654
9	ERP29	-1.0088552301401557	1.9270286207001334e-13	0.323079793587044	0.3588970817578171	-416.8979428109799			0.1371889724777197	1.6207520911299189e-12	0.5764952657885322	0.0183987072463349	0.4032744676800972	0.2693066126580738	-94.998668041109			0.2445372254725173	0.1042383753895236	1.585350495928688	0.2803912780585182	5.654064944194955	3.917423940791309e-09	6.69879493875314e-08	
10	SUCLG2	1.8223696617767169	1.2155823287196137e-84	0.3454737218465729	0.1610377729363553	-245.56105976231515			0.0934798418183669	3.5272147238347446e-82	0.6572398050559052	0.0005222923550237	0.2299167531256438	0.1537971274984053	-61.82683435541071			0.1894578751476949	0.0071507343565847	1.1651298567208117	0.21126468536380247	5.515024220514812	8.718298194487772e-09	1.355299082961281e-07	1.471323871441381
11	ACAT1	-1.286369097071276	4.9117521346414685e-34	0.2512456276154367	0.2101098333918411	-302.007543239082			0.1057635820050368	1.4018623715427535e-32	-0.1170798280685806	0.5289038126532182	0.1993543504684211	0.1542852851684114	-61.29895839059907			0.1859353691346885	0.7759928472069225	1.1692892690026955	0.21391095524490794	5.466243033995005	1.1491849805089771e-08	1.6375885972252924e-07	3.457740216260476
12	UGT1A9	-1.160565251793925	2.0679967917822863e-20	0.175205951521732	0.2914414021458019	-364.6133504847524			0.1253476636299322	2.9755226566057533e-19	-0.0627409930126001	0.6925247387724136	0.4074948745800352	0.1051382177435821	-41.65850800655909			0.1586647794398096	0.8641527500213416	1.0978242587813247	0.20220422599976998	5.429284444245857	1.4145111193464288e-08	1.860626164678764e-07	4.209275465891439
13	UGT2B7	-1.2533946883081346	3.141557332809844e-27	0.4776197578724698	0.2574863181563543	-349.153454711055			0.1159650416434481	7.103183527820699e-26	0.5326747825888402	0.0852213476255426	0.2997689086888347	0.4299497659600264	-121.3379448680496			0.3094854754890113	0.2684732726220877	1.7860694708969747	0.33049833648904503	5.404170834476128	1.6277217240734387e-08	1.8758745660152345e-07	
14	ALDOB	1.183933249562232	1.832807441731205e-41	0.4878649486506495	0.1425460005716256	-222.27332545042464			0.0877748381722701	6.9367777305522355e-40	0.2641263113622531	0.0702374734466027	0.8833057851246133	0.0993361023068278	-42.158492976213154			0.1458958181975233	0.2438760933692349	0.9198069381999787	0.17026453530812863	5.402222703250558	1.6455040052765213e-08	1.8758745660152345e-07	2.1642878136351333
15	GANAB	-1.248166057742286	8.058817836026425e-26	0.3295318534039967	0.2638177226669761	-348.79263198131366			0.1187988538441866	1.6702859348240483e-24	0.5407557166796504	0.0932395062912642	0.1559392055735535	0.4572205212277343	-121.74729045312296			0.3221561870084431	0.2839336864276474	1.7889217744219363	0.3433624564545626	5.210009833030961	4.7207655839986984e-08	5.045318217898609e-07	
16	GLUD1	-2.025921089198	3.3051221453832137e-85	0.135398229661864	0.207585192648822	-296.9028162061252			0.1035677902768456	1.1508435310224349e-82	-0.758598734572301	0.0008100849231745	0.225656681068205	0.2350957065714077	-87.39581323008434			0.226492969340461	0.0098853841349711	1.267322354625699	0.24904889548738757	5.0886487657194985	9.015595603401039e-08	9.068628518715163e-07	1.4171691112546256
17	UGT1A6	-1.7665551137666302	1.367391739153777e-64	0.2208561723025021	0.2076426692923075	-300.6515532401136			0.1040982025061196	1.7004492984762328e-62	-0.8115999495039891	2.965471283769066e-07	0.3115875089271637	0.0999702343017602	-38.893820509870295			0.158341553579154	2.4969268209335534e-05	0.9549551642626412	0.18949533860985918	5.039465198818121	1.1670862609669541e-07	1.1087319479186064e-06	1.1220980793219275
18	PON1	-1.896671744626335	1.7979972714125974e-53	0.2518951093077227	0.2795443914145188	-361.4546528082801			0.1232091414488464	1.3042971873038886e-51	-0.4732129187329176	0.0682335177275812	0.192468816806121	0.3134632654147812	-104.02359109610438			0.2595135184437173	0.240387539441939	1.4234588258934173	0.2872764501166071	4.95501397805364	1.8081272412651117e-07	1.6273145171386005e-06	2.0029086493793393
19	DLAT	-1.6222651718312624	1.8979633351181848e-43	0.1404723945565516	0.2636026926141444	-345.63663224001			0.1173748690860608	7.684544573118046e-42	-0.6104121647211763	0.0004612478348587	0.4161000530497796	0.1312269218594565	-53.35067244757974			0.1742885950881252	0.0064728446158516	1.0118530071100862	0.21012704316856115	4.815434471699062	3.6719989693345667e-07	3.1395591187810547e-06	1.4101540399215775
20	HMGCS2	1.5169073718215014	4.944934422226517e-41	0.2093552164910851	0.2472937325925285	-335.54949105779133			0.1130761741661059	1.8317299636375248e-39	0.6186273848211173	3.2606204177646435e-05	0.7191076848891834	0.0978376873540066	-40.13468783619413			0.1489069453463751	0.0009467042730199	0.898279987000384	0.18697459596541946	4.804288958947765	3.88256022554323e-07	3.1615133265137733e-06	1.2939903879511951
21	ADH4	-1.6201342289020269	5.20888562793624e-59	0.1363517765803222	0.187931959699294	-274.3792759666467			0.1000205968458966	4.3184142277319006e-57	-0.7282528078893656	5.079088090432135e-06	0.2746287112312668	0.1189619661890333	-50.609232259218686			0.1596522492241493	0.0002250837985338	0.8918814210126612	0.18839575493025118	4.734084487959179	5.501151453257691e-07	4.2758949932139325e-06	1.1536020820224488
22	AKR1D1	-1.2403296721455672	1.595532730299896e-35	0.4228326651890483	0.192286705832693	-288.1234274814067			0.0997091822027098	4.873372777986175e-34	-0.4051561507023803	0.0057515793238727	0.3003738670512876	0.0939460829391084	-35.568578464196605			0.1467097203574052	0.0454725801943739	0.8351735214431869	0.17738563375561509	4.708236533933796	6.246726405589875e-07	4.644305284155951e-06	1.6141736837258172
23	MTTP	-1.2819047778780848	2.113236047333236e-18	0.2210538540801163	0.396423708452026	-429.54046671299056			0.1464853505061817	2.59094644958251e-17	0.1240405986776345	0.6438627765880742	0.4201077081598284	0.3359769928037414	-109.0324164622275			0.2683091450818503	0.8338383489194705	1.4059453765557193	0.30569225578590026	4.599218167765462	1.0601987104341681e-06	7.553915811843448e-06	
24	AMDHD1	1.7968510909410886	2.5060178478300905e-50	0.2695445994103686	0.2715265111751825	-352.69784573531365			0.1204461572654827	1.504474852783513e-48	0.1464661169981213	0.6743095166378781	1.3031994354404275	0.4570373029833957	-115.3069761401008			0.3485289864342777	0.8531459248821838	1.6503849739429675	0.3687542964969036	4.475568121161744	1.905209876362779e-06	1.3031635554321408e-05	3.61683199453134
25	ADH6	-1.3103357327574092	1.2655726906746574e-41	0.1221418053382643	0.1808633297597337	-264.5450247354647			0.0969500308183593	4.896360121032397e-40	-0.3778718103718592	0.0454138986081145	0.4311551400495298	0.1618085778206458	-65.48652520129428			0.1888603182948486	0.1848257798970023	0.93246392238555	0.21229114042303399	4.392382652085352	2.80287867632234e-06	1.8434317448120006e-05	1.7939677036557375
26	UGT1A1	-1.3881098886422336	4.4551676903684535e-48	0.4353085032469941	0.165328075207413	-252.9134195769648			0.0952815424647068	2.281307926156317e-46	-0.6002473162259189	0.0001582632778053	0.3806132173450943	0.1007545667939324	-37.5518993369881			0.1588909358066653	0.0029287402178482	0.7878625724163147	0.18526980816088615	4.25251464465351	5.284584708942219e-06	3.3469036489967394e-05	1.209492829141545
27	ARF6	-1.23122759031243	4.2078981015505404e-17	0.195332820403204	0.3920469490460719	-408.0620954365561			0.1464534404311397	4.788203003136921e-16	0.2212986518434323	0.4800993217684708	0.0519003635999727	0.4456959974944566	-118.97298469999384			0.3133907814088339	0.7444012191947023	1.4525262421558622	0.34592252324206485	4.198992966813652	6.702616168030584e-06	4.093383445475821e-05	
28	ORMDL2	-1.081576383397192	2.467246611718911e-13	0.4008102197243621	0.3601155790249542	-346.2528095375201			0.1477426900644322	2.055251842584988e-12	0.3381499491581356	0.2701309665423747	0.2483481712776936	0.3655997860513795	-89.53909102686032			0.3066393785075034	0.5314258734314941	1.4197263325553278	0.340375690846075	4.171056778544616	7.5797574767833e-06	4.469443201827394e-05	
29	ACO2	1.2281565408064774	5.648368757406819e-38	0.280924675524358	0.1739412206666899	-261.7129723714811			0.0953353412401617	1.9281980405186807e-36	0.0518164955645364	0.8483056794635138	0.1556269205477088	0.3167290937047687	-97.38100297886592			0.2708924371624633	0.9421448673300136	1.176340045241941	0.287178585206483	4.096196951441021	1.0499816437747889e-05	5.984895369516297e-05	4.566939201121047
30	PDHA1	-1.1880816576056683	3.315213179555644e-17	0.2825698455813267	0.3635598044767313	-407.6263866871029			0.140853288918953	3.873681976917031e-16	-0.2320910391838516	0.2301865408971765	0.3001228396836116	0.1587167614604496	-62.848457877205504			0.1934287880524793	0.4900557962968966	0.9559906184218168	0.23927880191679538	3.9953000882804663	1.6153089676729238e-05	8.910252692647419e-05	2.3558712691160557
31	ACSM2B	-1.1367867217583794	7.710791554361856e-20	0.3713769721094809	0.295197348860156	-371.10563069883256			0.1246862875932274	1.065435563186031e-18	-0.4038114296530972	0.0040849182855132	0.3943461206829178	0.086572048905991	-31.87311114643205			0.1406259477833365	0.0363968380571655	0.7329752921052821	0.18794235154361216	3.900000644267743	2.4048108015206626e-05	0.0001285070772062604	1.4932079573634192
32	SULT2A1	-1.295993459642674	2.5184467108843693e-44	0.4544887122670595	0.1685014890017911	-261.4938729550868			0.0927972498948814	1.0694184691828504e-42	-0.2975795689868166	0.2145624019160107	0.3324447154899347	0.2524198849008771	-91.88738417216268			0.2397674720608429	0.4746481426572251	0.9984138906558575	0.2570987558244889	3.8833867066141505	2.5752885118301982e-05	0.0001334467683402921	2.122711054143936
33	ADH1B	-1.76008025538088	5.066423318939166e-88	0.1674866063039806	0.1515695784061664	-233.92799744345257			0.088495111326418	2.205160749568272e-85	-0.9775532192628866	1.3020986770101036e-07	0.2046407041589987	0.1536872445913794	-63.64131417026681			0.1851934998812735	1.4618227813900095e-05	0.7825270361179935	0.2052511074926281	3.8125350244265994	3.4387182565709384e-05	0.0001729473005510678	0.8483940618925184
34	PDXK	-1.44103673306675	1.6267523805750908e-24	0.1305442570511892	0.3804778009640246	-417.918661457996			0.141012653906994	3.1822201062710493e-23	-0.1695640746322657	0.580489798659058	0.1446105611156861	0.4109064195898911	-112.84124832489856			0.3068092232653064	0.8085565102910287	1.2714726584344842	0.33766324650834345	3.7655050455811656	4.155319170140448e-05	0.00020301702231257618	3.08720466625868
35	CPPED1	-1.48526484915961	4.960158943789498e-28	0.4460422350515877	0.3321129068666871	-392.0703502186773			0.1353137274620891	1.1669779352888535e-26	-0.4587883200097641	0.0615440885254826	0.4547295814826535	0.2644942439738379	-94.16710570960016			0.2453982803094526	0.2253048806019842	1.0264765291498459	0.28023226227278186	3.6629491580475477	6.233200995897636e-05	0.00029607704730513773	1.694819643861439
36	HSDL2	-1.6379031515549058	4.6293194732202966e-46	0.1534709991590711	0.2548386246042382	-339.8953632729281			0.1149586912294669	2.238790334132371e-44	-0.7534823402968058	0.0004042539278685	0.2730049773365292	0.1999104319240152	-77.39518621441408			0.2130111238768738	0.005919683604614	0.8844208112581	0.2420521422844276	3.6538441796513657	6.45857714362541e-05	0.00029849099771890413	1.1202044493778684
37	ACSL5	-2.367602547901472	2.770563861733295e-104	0.085249876252904	0.2159412481777433	-296.3256272919202			0.1091756348729716	4.823551683277667e-101	-1.553423925587794	4.071723143198825e-15	0.1911346146106695	0.1756674349760816	-69.24899133502697			0.197820338497447	6.856781773146819e-12	0.814178622313678	0.22594735133026217	3.6033997190947877	7.85204890134672e-05	0.0003533422005606024	0.6079753230539293
38	PSMA2	-1.107286912441527	1.7437111366410442e-16	0.1676105816469469	0.3364769014376766	-386.9050497237925			0.1344038126183427	1.839879447813369e-15	0.1881131924029228	0.5797068643867822	0.1184580995930356	0.5307118928770697	-128.43208395035282			0.3396691829755285	0.8085565102910287	1.29540010484445	0.36529377042266903	3.54618723266369	9.771210008047149e-05	0.0004284299772759135	
39	POR	-1.5942367668996908	3.0874740139840832e-43	0.5636500875315313	0.2441019738519101	-332.4454589474469			0.115640347897666	1.2216573314423383e-41	-0.9347213144715067	2.9365740109428286e-10	0.2880189526171995	0.0953817092091635	-37.3679863093638			0.1483192439628803	7.064558049182462e-08	0.6595154524281841	0.18807256097478342	3.5067074591312193	0.0001134219063116948	0.0004848786494824953	0.7702577088181396
40	AKR1C2	-1.477159199974398	1.980129444315845e-26	0.6159623510920471	0.3602535859584239	-414.3773627468647			0.1388548395590733	4.363804256397325e-25	-0.6880866389686066	0.0001114977575597	0.2522060499124725	0.1402346959520318	-58.84445456355991			0.1780714640410552	0.0021769723112412	0.7890725610057915	0.22580990406689605	3.494410771159219	0.00011877734897242087	0.0004951058245756931	1.1021631847406221
41	PGRMC2	-1.1371798876914083	7.892342746630343e-17	0.3638160693684918	0.3624496226932983	-421.5544328448816			0.1364696074160457	8.641867120681402e-16	-0.2672338455393807	0.2004928888315422	0.3192227707861419	0.2033147805338108	-79.84421695522599			0.2087522115499543	0.4538037967638672	0.8699460421520276	0.2494021643356098	3.4881254718438552	0.00012160493936946848	0.0004951058245756931	2.0892858448289613
42	AMACR	-2.1832916485720126	9.958191253360308e-50	0.1574385049782915	0.408690207803917	-435.733814392032			0.147261638692692	5.592648700677515e-48	-0.8935844591004231	0.0105047800578851	1.0681918270938495	0.4181903974981829	-110.5009937790776			0.3492262926217218	0.0716196340788605	1.2897071894715895	0.37900526868207174	3.402874039076906	0.00016670253564238235	0.0006629333394150554	1.2888288610426641
43	ADH1C	-1.5358600262113034	4.640793937160335e-59	0.2168986628227169	0.1741399140539743	-263.6775961211233			0.0947762971012117	4.039811122298072e-57	-0.8251081446563828	1.0812156088503883e-05	0.208133858373796	0.164103944038952	-68.3872360118653			0.1875135244503109	0.0004335159726914	0.7107518815549205	0.21010442247604996	3.3828506472106263	0.00017934408429237658	0.0006969963275908273	0.8963916121085268
44	ECI1	-1.3162396928391358	1.3718841986265873e-33	0.2959747675202976	0.2097312272991628	-292.14269763970924			0.1089737096596198	3.7911910949347436e-32	-0.3606236034931891	0.1754796887362761	0.2571140572678156	0.294699626779194	-95.13982922875375			0.2661811845905767	0.4179742515302533	0.9556160893459467	0.28762422086295475	3.3224465119064925	0.00022307944314042816	0.000847701883933627	1.8678565018151136
45	NNMT	1.7093933460037385	3.982854246874566e-34	0.1173404645004641	0.2719231628637945	-292.6790128600578			0.1403466522640362	1.15569154063477e-32	0.7233795401153611	0.0059474165491459	0.5221125756152895	0.3191573259563104	-103.87186509733732			0.2629833715510613	0.0462608251682344	0.9860138058883774	0.29808964509705105	3.3077761073094445	0.00023509989862213754	0.0008739583187909896	1.2406597128015207
46	CYP2E1	-2.093098574940808	3.694957781384693e-46	0.062834791780414	0.367397200813995	-386.86005408533015			0.1467451767500237	1.8379775706830721e-44	-1.043149412739563	0.0002411660704237	0.1332427673587852	0.2606846390613051	-71.49019481005234			0.2841236409463593	0.0040210263623132	1.0499491622012451	0.319781785353718	3.2833301028695936	0.0002564711522334284	0.00093311844748758	1.004694443980098
47	MTHFD1	-1.7738822094514168	1.117356494473427e-59	0.107860246687153	0.2191917520719132	-302.82423747916755			0.1088778196086356	1.030252879030972e-57	-1.1308659540040165	2.311612879809146e-10	0.2930393923059541	0.1382824715038997	-57.84048922212253			0.1783962881817564	6.487926815997669e-08	0.6430162554474004	0.2089966871502007	3.076681569527849	0.0005232969446785085	0.0018518264752589012	0.649482282853302
48	ARL6IP5	-1.0339997726000578	3.637415085433359e-16	0.2861087849074764	0.289702692164445	-352.46856567881696			0.1268701921083341	3.681825385895045e-15	0.1566276120625122	0.6688198265229229	1.7732535205643212e-10	0.5352884135041363	-111.44456324420209			0.3661505917893133	0.8493910919039233	1.19062738466257	0.3875078083255484	3.072524886162589	0.0005306403350157085	0.0018518264752589012	
49	ALAD	-1.7371767384713086	4.203855076674991e-70	0.3058420096649253	0.1858289418867385	-280.09311961452227			0.0981463804963585	7.318911688491158e-68	-1.0402654782579237	4.709291581654822e-07	0.4096323218488525	0.1959281722810442	-78.77196427980573			0.2064922832988846	3.420457660244941e-05	0.6969112602133849	0.228630214684155	3.0482027984627686	0.0005755362687521193	0.001968334039132248	0.739792785132173
50	CYP3A4	-1.6715213072331885	1.1243426020441393e-59	0.7359307093626027	0.1856588831374243	-272.9511671331584			0.1025974847622779	1.030252879030972e-57	-0.9466169309566485	1.6356166539884125e-05	0.2482362183800263	0.1549388759370566	-46.04885596374794			0.2196538816497516	0.0005738288427742	0.72490437627654	0.24243364371173595	2.9901145945670913	0.0006971820093682468	0.0023376102667052984	0.8203091143023526
51	UGT1A4	-1.2190163372966658	5.2878417573059535e-24	0.4787676843478131	0.2749956226148901	-354.9714471681368			0.1206434704487178	1.0006665760293112e-22	-0.321383924809986	0.2535594340929438	0.6251972504152066	0.3171624668933152	-90.66235250815862			0.2814845008571698	0.5169419939618853	0.8976324124866798	0.3062488713199131	2.9310554145650936	0.0008445312899819091	0.0027772086651328166	1.9233477868614726
52	APOL2	-1.251638660822476	6.660053371739391e-20	0.3420897177679269	0.3550508379452371	-410.4371519690585			0.13704508905116	9.426953593657138e-19	-0.4496744961138503	0.0661705646151394	0.2036245047674418	0.2654638149799784	-90.89227100125794			0.2447519176672294	0.2355839974881498	0.8019641647086257	0.28050821313256874	2.8589685690579616	0.0010625522358228556	0.003428234572183176	1.4768651595083964
53	SLC25A13	-1.0742902050313698	1.574887442162492e-15	0.3594361339295785	0.3381422667669443	-397.08596656287546			0.1347760716470679	1.5403814813510667e-14	0.00200873017297	0.9954806545904468	0.1930377380899639	0.5858029383758695	-137.93652407357217			0.3546368061141358	0.9984451592199596	1.07629893520434	0.3793835180123811	2.8369680919275337	0.001138604082617345	0.003605579594954926	
54	ADH1A	-1.4060696584095185	7.796219230089392e-36	0.1496986415484434	0.2450164062470053	-332.24408633938174			0.1125166305438031	2.423788871354577e-34	-0.7264557205636046	0.0006388024784247	0.2185972081375054	0.1954391709661439	-75.81764623797164			0.2127510717028403	0.0083390959199017	0.6796139378459138	0.24067199807962245	2.823818073015185	0.0011863828228925732	0.00368857204935691	0.9527212995616778
55	PHGDH	-1.472241982700237	6.532564061615038e-37	0.3873691390892214	0.2575662408954936	-348.66517419652564			0.1159958175443389	2.1458856662776945e-35	-0.7464647047195907	0.001615761756201	0.3398092764541043	0.2572037934981477	-92.2238836644865			0.236743971687057	0.0171805330445327	0.7257772779806464	0.2636337190458413	2.752975911455569	0.0014764060347013386	0.004508311284534445	0.9798688653801503
